2026-05-05 15:58:06 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 15:58:06 | INFO | api | 🌐 Binance Stakan WS подключен: на 43 монет.
2026-05-05 15:58:07 | INFO | api | 🌐 Stakan WS подключен: на 40 монет.
2026-05-05 15:58:07 | INFO | api | 🌐 Stakan WS подключен: на 3 монет.
2026-05-05 15:58:07 | INFO | api | 🔐 Private WS Подключен. Отправляем авторизацию...
2026-05-05 15:58:07 | INFO | api | ✅ Авторизация успешна! Подписываемся на канал (aop_p.subscribe)...
2026-05-05 15:58:08 | INFO | api | 🎯 Подписка ПРИНЯТА БИРЖЕЙ! Канал USDT-фьючерсов открыт.
2026-05-05 16:03:06 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 16:03:06 | INFO | api | 🌐 Binance Stakan WS подключен: на 43 монет.
2026-05-05 16:03:07 | INFO | api | 🌐 Stakan WS подключен: на 40 монет.
2026-05-05 16:03:07 | INFO | api | 🔐 Private WS Подключен. Отправляем авторизацию...
2026-05-05 16:03:07 | INFO | api | 🌐 Stakan WS подключен: на 3 монет.
2026-05-05 16:03:07 | INFO | api | ✅ Авторизация успешна! Подписываемся на канал (aop_p.subscribe)...
2026-05-05 16:03:07 | INFO | api | 🎯 Подписка ПРИНЯТА БИРЖЕЙ! Канал USDT-фьючерсов открыт.
2026-05-05 16:06:19 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 16:06:30 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 16:13:29 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 16:13:45 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 16:14:49 | INFO | api | 🌐 Binance Stakan WS подключен: на 43 монет.
2026-05-05 16:15:49 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 16:18:04 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 16:18:26 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 16:18:44 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 16:19:18 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 16:24:26 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 16:25:09 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 16:27:27 | INFO | api | 🌐 Binance Stakan WS подключен: на 43 монет.
2026-05-05 16:28:01 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 16:28:13 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 16:28:18 | INFO | api | 🌐 Binance Stakan WS подключен: на 43 монет.
2026-05-05 16:28:30 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 16:28:55 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 16:29:58 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 16:31:21 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 16:34:00 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 16:36:47 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 16:37:19 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 16:38:06 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 16:38:16 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 16:38:29 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 16:38:35 | INFO | api | 🌐 Binance Stakan WS подключен: на 43 монет.
2026-05-05 16:40:08 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 16:43:25 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 16:44:17 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 16:47:07 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 16:47:50 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 16:48:36 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 16:49:00 | INFO | api | 🌐 Binance Stakan WS подключен: на 43 монет.
2026-05-05 16:50:29 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 16:50:41 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 16:51:02 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 16:54:21 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 16:54:39 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 16:54:53 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 16:56:11 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 16:57:02 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 16:59:53 | INFO | api | 🌐 Binance Stakan WS подключен: на 43 монет.
2026-05-05 17:01:33 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 17:03:27 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 17:05:29 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 17:06:03 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 17:06:59 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 17:09:25 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 17:11:12 | INFO | api | 🌐 Binance Stakan WS подключен: на 43 монет.
2026-05-05 17:13:13 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 17:15:46 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 17:15:57 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 17:16:22 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 17:17:12 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 17:17:23 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 17:18:25 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 17:20:07 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 17:22:41 | INFO | api | 🌐 Binance Stakan WS подключен: на 43 монет.
2026-05-05 17:25:31 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 17:27:47 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 17:28:21 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 17:30:04 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 17:31:23 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 17:32:17 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 17:35:28 | INFO | api | 🌐 Binance Stakan WS подключен: на 43 монет.
2026-05-05 17:37:09 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 17:38:52 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 17:39:14 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 17:40:40 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 17:40:50 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 17:42:44 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 17:44:08 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 17:45:14 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 17:46:32 | INFO | api | 🌐 Binance Stakan WS подключен: на 43 монет.
2026-05-05 17:49:33 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 17:50:06 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 17:51:12 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 17:51:36 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 17:53:52 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 17:54:56 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 17:55:45 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 17:57:25 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 17:57:59 | INFO | api | 🌐 Binance Stakan WS подключен: на 43 монет.
2026-05-05 17:59:39 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 18:01:40 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 18:01:55 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 18:05:32 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 18:06:25 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 18:08:53 | INFO | api | 🌐 Binance Stakan WS подключен: на 43 монет.
2026-05-05 18:10:26 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 18:11:26 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 18:11:26 | INFO | api | 🌐 Binance Stakan WS подключен: на 43 монет.
2026-05-05 18:11:27 | INFO | api | 🌐 Stakan WS подключен: на 40 монет.
2026-05-05 18:11:27 | INFO | api | 🌐 Stakan WS подключен: на 3 монет.
2026-05-05 18:11:27 | INFO | api | 🔐 Private WS Подключен. Отправляем авторизацию...
2026-05-05 18:11:27 | INFO | api | ✅ Авторизация успешна! Подписываемся на канал (aop_p.subscribe)...
2026-05-05 18:11:27 | INFO | api | 🎯 Подписка ПРИНЯТА БИРЖЕЙ! Канал USDT-фьючерсов открыт.
2026-05-05 18:21:37 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 18:21:48 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 18:22:12 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 18:22:27 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 18:23:47 | INFO | api | 🌐 Binance Stakan WS подключен: на 43 монет.
2026-05-05 18:24:03 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 18:32:46 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 18:33:01 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
2026-05-05 18:33:13 | INFO | api | 🌐 Binance Stakan WS подключен: на 50 монет.
