2026-05-05 15:58:04 | INFO | rsi | 📦 RSI данные успешно загружены из кэша (pickle).
2026-05-05 15:58:04 | INFO | rsi | ✅ Кэш актуален. Полная загрузка пропущена.
2026-05-05 16:03:04 | INFO | rsi | 📦 RSI данные успешно загружены из кэша (pickle).
2026-05-05 16:03:04 | INFO | rsi | ✅ Кэш актуален. Полная загрузка пропущена.
2026-05-05 16:13:04 | DEBUG | rsi | 🔄 RSI Background Sync: Полное обновление свечей...
2026-05-05 16:13:04 | INFO | rsi | 📦 RSI данные успешно загружены из кэша (pickle).
2026-05-05 16:13:04 | INFO | rsi | ✅ Кэш актуален. Полная загрузка пропущена.
2026-05-05 16:23:04 | DEBUG | rsi | 🔄 RSI Background Sync: Полное обновление свечей...
2026-05-05 16:23:04 | INFO | rsi | 📦 RSI данные успешно загружены из кэша (pickle).
2026-05-05 16:23:04 | INFO | rsi | ✅ Кэш актуален. Полная загрузка пропущена.
2026-05-05 16:33:04 | DEBUG | rsi | 🔄 RSI Background Sync: Полное обновление свечей...
2026-05-05 16:33:04 | INFO | rsi | 📦 RSI данные успешно загружены из кэша (pickle).
2026-05-05 16:33:04 | INFO | rsi | ✅ Кэш актуален. Полная загрузка пропущена.
2026-05-05 16:43:04 | DEBUG | rsi | 🔄 RSI Background Sync: Полное обновление свечей...
2026-05-05 16:43:04 | INFO | rsi | 📦 RSI данные успешно загружены из кэша (pickle).
2026-05-05 16:43:04 | INFO | rsi | ✅ Кэш актуален. Полная загрузка пропущена.
2026-05-05 16:53:04 | DEBUG | rsi | 🔄 RSI Background Sync: Полное обновление свечей...
2026-05-05 16:53:04 | INFO | rsi | 📦 RSI данные успешно загружены из кэша (pickle).
2026-05-05 16:53:04 | INFO | rsi | ✅ Кэш актуален. Полная загрузка пропущена.
2026-05-05 17:03:04 | DEBUG | rsi | 🔄 RSI Background Sync: Полное обновление свечей...
2026-05-05 17:03:04 | INFO | rsi | 📦 RSI данные успешно загружены из кэша (pickle).
2026-05-05 17:03:04 | INFO | rsi | ✅ Кэш актуален. Полная загрузка пропущена.
2026-05-05 17:13:04 | DEBUG | rsi | 🔄 RSI Background Sync: Полное обновление свечей...
2026-05-05 17:13:04 | INFO | rsi | 📦 RSI данные успешно загружены из кэша (pickle).
2026-05-05 17:13:04 | INFO | rsi | ✅ Кэш актуален. Полная загрузка пропущена.
2026-05-05 17:23:04 | DEBUG | rsi | 🔄 RSI Background Sync: Полное обновление свечей...
2026-05-05 17:23:04 | INFO | rsi | 📦 RSI данные успешно загружены из кэша (pickle).
2026-05-05 17:23:04 | INFO | rsi | ✅ Кэш актуален. Полная загрузка пропущена.
2026-05-05 17:33:04 | DEBUG | rsi | 🔄 RSI Background Sync: Полное обновление свечей...
2026-05-05 17:33:04 | INFO | rsi | 📦 RSI данные успешно загружены из кэша (pickle).
2026-05-05 17:33:04 | INFO | rsi | ✅ Кэш актуален. Полная загрузка пропущена.
2026-05-05 17:43:04 | DEBUG | rsi | 🔄 RSI Background Sync: Полное обновление свечей...
2026-05-05 17:43:05 | INFO | rsi | 📦 RSI данные успешно загружены из кэша (pickle).
2026-05-05 17:43:05 | INFO | rsi | ✅ Кэш актуален. Полная загрузка пропущена.
2026-05-05 17:53:05 | DEBUG | rsi | 🔄 RSI Background Sync: Полное обновление свечей...
2026-05-05 17:53:05 | INFO | rsi | 📦 RSI данные успешно загружены из кэша (pickle).
2026-05-05 17:53:05 | INFO | rsi | ✅ Кэш актуален. Полная загрузка пропущена.
2026-05-05 18:03:05 | DEBUG | rsi | 🔄 RSI Background Sync: Полное обновление свечей...
2026-05-05 18:03:05 | INFO | rsi | 📦 RSI данные успешно загружены из кэша (pickle).
2026-05-05 18:03:05 | INFO | rsi | ✅ Кэш актуален. Полная загрузка пропущена.
2026-05-05 18:11:24 | INFO | rsi | 📦 RSI данные успешно загружены из кэша (pickle).
2026-05-05 18:11:24 | INFO | rsi | ✅ Кэш актуален. Полная загрузка пропущена.
2026-05-05 18:21:24 | DEBUG | rsi | 🔄 RSI Background Sync: Полное обновление свечей...
2026-05-05 18:21:24 | INFO | rsi | 📦 RSI данные успешно загружены из кэша (pickle).
2026-05-05 18:21:24 | INFO | rsi | ✅ Кэш актуален. Полная загрузка пропущена.
2026-05-05 18:31:24 | DEBUG | rsi | 🔄 RSI Background Sync: Полное обновление свечей...
2026-05-05 18:31:24 | INFO | rsi | 📦 RSI данные успешно загружены из кэша (pickle).
2026-05-05 18:31:24 | INFO | rsi | ✅ Кэш актуален. Полная загрузка пропущена.
2026-05-05 18:41:24 | DEBUG | rsi | 🔄 RSI Background Sync: Полное обновление свечей...
2026-05-05 18:41:24 | INFO | rsi | 📦 RSI данные успешно загружены из кэша (pickle).
2026-05-05 18:41:24 | INFO | rsi | ✅ Кэш актуален. Полная загрузка пропущена.
2026-05-05 18:51:24 | DEBUG | rsi | 🔄 RSI Background Sync: Полное обновление свечей...
2026-05-05 18:51:24 | INFO | rsi | 📦 RSI данные успешно загружены из кэша (pickle).
2026-05-05 18:51:24 | INFO | rsi | ✅ Кэш актуален. Полная загрузка пропущена.
2026-05-05 18:59:54 | INFO | rsi | 📦 RSI данные успешно загружены из кэша (pickle).
2026-05-05 18:59:54 | INFO | rsi | 🕯️ RSI Warmup: Загрузка 1m свечей для 443 монет...
2026-05-05 19:01:50 | INFO | rsi | ✅ RSI Warmup завершен. Загружено 443 инструментов.
2026-05-05 19:11:50 | DEBUG | rsi | 🔄 RSI Background Sync: Полное обновление свечей...
2026-05-05 19:11:50 | INFO | rsi | 📦 RSI данные успешно загружены из кэша (pickle).
2026-05-05 19:11:50 | INFO | rsi | ✅ Кэш актуален. Полная загрузка пропущена.
2026-05-05 19:16:04 | INFO | rsi | 📦 RSI данные успешно загружены из кэша (pickle).
2026-05-05 19:16:04 | INFO | rsi | ✅ Кэш актуален. Полная загрузка пропущена.
2026-05-05 19:26:04 | DEBUG | rsi | 🔄 RSI Background Sync: Полное обновление свечей...
2026-05-05 19:26:04 | INFO | rsi | 📦 RSI данные успешно загружены из кэша (pickle).
2026-05-05 19:26:04 | INFO | rsi | ✅ Кэш актуален. Полная загрузка пропущена.
2026-05-05 19:36:04 | DEBUG | rsi | 🔄 RSI Background Sync: Полное обновление свечей...
2026-05-05 19:36:04 | INFO | rsi | 📦 RSI данные успешно загружены из кэша (pickle).
2026-05-05 19:36:04 | INFO | rsi | ✅ Кэш актуален. Полная загрузка пропущена.
2026-05-05 19:46:04 | DEBUG | rsi | 🔄 RSI Background Sync: Полное обновление свечей...
2026-05-05 19:46:04 | INFO | rsi | 📦 RSI данные успешно загружены из кэша (pickle).
2026-05-05 19:46:04 | INFO | rsi | ✅ Кэш актуален. Полная загрузка пропущена.
2026-05-05 19:56:04 | DEBUG | rsi | 🔄 RSI Background Sync: Полное обновление свечей...
2026-05-05 19:56:04 | INFO | rsi | 📦 RSI данные успешно загружены из кэша (pickle).
2026-05-05 19:56:04 | INFO | rsi | ✅ Кэш актуален. Полная загрузка пропущена.
2026-05-05 20:06:04 | DEBUG | rsi | 🔄 RSI Background Sync: Полное обновление свечей...
2026-05-05 20:06:04 | INFO | rsi | 📦 RSI данные успешно загружены из кэша (pickle).
2026-05-05 20:06:04 | INFO | rsi | ✅ Кэш актуален. Полная загрузка пропущена.
2026-05-05 20:16:04 | DEBUG | rsi | 🔄 RSI Background Sync: Полное обновление свечей...
2026-05-05 20:16:04 | INFO | rsi | 📦 RSI данные успешно загружены из кэша (pickle).
2026-05-05 20:16:04 | INFO | rsi | ✅ Кэш актуален. Полная загрузка пропущена.
2026-05-05 20:26:04 | DEBUG | rsi | 🔄 RSI Background Sync: Полное обновление свечей...
2026-05-05 20:26:04 | INFO | rsi | 📦 RSI данные успешно загружены из кэша (pickle).
2026-05-05 20:26:04 | INFO | rsi | ✅ Кэш актуален. Полная загрузка пропущена.
2026-05-05 20:36:04 | DEBUG | rsi | 🔄 RSI Background Sync: Полное обновление свечей...
2026-05-05 20:36:04 | INFO | rsi | 📦 RSI данные успешно загружены из кэша (pickle).
2026-05-05 20:36:04 | INFO | rsi | ✅ Кэш актуален. Полная загрузка пропущена.
2026-05-05 20:46:04 | DEBUG | rsi | 🔄 RSI Background Sync: Полное обновление свечей...
2026-05-05 20:46:04 | INFO | rsi | 📦 RSI данные успешно загружены из кэша (pickle).
2026-05-05 20:46:04 | INFO | rsi | ✅ Кэш актуален. Полная загрузка пропущена.
2026-05-05 20:56:04 | DEBUG | rsi | 🔄 RSI Background Sync: Полное обновление свечей...
2026-05-05 20:56:04 | INFO | rsi | 📦 RSI данные успешно загружены из кэша (pickle).
2026-05-05 20:56:04 | INFO | rsi | ✅ Кэш актуален. Полная загрузка пропущена.
