2026-04-02 23:30:00 | DEBUG | bot | [IMXUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:01 | DEBUG | bot | [QTUMUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:02 | DEBUG | bot | [OGNUSDT] Успешно: ISOLATED Margin, Lev=20.0x
2026-04-02 23:30:02 | DEBUG | bot | [QNTUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:03 | DEBUG | bot | [RVNUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:03 | DEBUG | bot | [LDOUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:04 | DEBUG | bot | [ZILUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:04 | DEBUG | bot | [ALGOUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:05 | DEBUG | bot | [GMXUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:05 | DEBUG | bot | [C98USDT] Успешно: ISOLATED Margin, Lev=20.0x
2026-04-02 23:30:06 | DEBUG | bot | [CHRUSDT] Успешно: ISOLATED Margin, Lev=20.0x
2026-04-02 23:30:06 | DEBUG | bot | [BCHUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:07 | DEBUG | bot | [KAVAUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:07 | DEBUG | bot | [FLUXUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:08 | DEBUG | bot | [SNXUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:08 | DEBUG | bot | [BATUSDT] Успешно: ISOLATED Margin, Lev=20.0x
2026-04-02 23:30:09 | DEBUG | bot | [NEARUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:30:09 | DEBUG | bot | [YFIUSDT] Успешно: ISOLATED Margin, Lev=21x
