2026-04-15 08:13:42 | INFO | base | [TSMUSDT] 📉 Base: СДВИГ ТП. Rate: 0.700 → 0.500
2026-04-15 09:28:40 | INFO | base | [WETUSDT] 📉 Base: СДВИГ ТП. Rate: 0.700 → 0.500
2026-04-15 09:29:00 | INFO | base | [WETUSDT] 📉 Base: СДВИГ ТП. Rate: 0.500 → 0.300
2026-04-15 12:26:30 | INFO | base | [PARTIUSDT] 📉 Base: СДВИГ ТП. Rate: 0.700 → 0.500
2026-04-15 12:26:50 | INFO | base | [PARTIUSDT] 📉 Base: СДВИГ ТП. Rate: 0.500 → 0.300
2026-04-15 18:38:55 | INFO | base | [WETUSDT] 📉 Base: СДВИГ ТП. Rate: 0.700 → 0.500
2026-04-15 18:39:15 | INFO | base | [WETUSDT] 📉 Base: СДВИГ ТП. Rate: 0.500 → 0.300
2026-04-15 20:14:43 | INFO | base | [DUSDT] 📉 Base: СДВИГ ТП. Rate: 0.700 → 0.500
2026-04-15 20:15:03 | INFO | base | [DUSDT] 📉 Base: СДВИГ ТП. Rate: 0.500 → 0.300
2026-04-16 00:22:15 | INFO | base | [SOLVUSDT] 📉 Base: СДВИГ ТП. Rate: 0.700 → 0.500
2026-04-16 00:56:30 | INFO | base | [B3USDT] 📉 Base: СДВИГ ТП. Rate: 0.700 → 0.500
2026-04-16 00:56:50 | INFO | base | [B3USDT] 📉 Base: СДВИГ ТП. Rate: 0.500 → 0.300
2026-04-16 01:45:15 | INFO | base | [QQQUSDT] 📉 Base: СДВИГ ТП. Rate: 0.700 → 0.500
2026-04-16 01:45:36 | INFO | base | [QQQUSDT] 📉 Base: СДВИГ ТП. Rate: 0.500 → 0.300
2026-04-24 01:43:05 | INFO | base | [GENIUSUSDT] 📉 Base: СДВИГ ТП. Rate: 0.700 → 0.500
2026-04-24 01:52:38 | INFO | base | [APRUSDT] 📉 Base: СДВИГ ТП. Rate: 0.700 → 0.500
2026-04-24 02:22:22 | INFO | base | [APRUSDT] 📉 Base: СДВИГ ТП. Rate: 0.700 → 0.500
2026-04-24 03:05:42 | INFO | base | [GENIUSUSDT] 📉 Base: СДВИГ ТП. Rate: 0.700 → 0.500
2026-04-24 03:06:02 | INFO | base | [GENIUSUSDT] 📉 Base: СДВИГ ТП. Rate: 0.500 → 0.300
2026-04-24 05:12:36 | INFO | base | [BERAUSDT] 📉 Base: СДВИГ ТП. Rate: 0.700 → 0.500
2026-04-24 05:33:04 | INFO | base | [APRUSDT] 📉 Base: СДВИГ ТП. Rate: 0.700 → 0.500
2026-04-24 06:25:11 | INFO | base | [KERNELUSDT] 📉 Base: СДВИГ ТП. Rate: 0.700 → 0.500
2026-04-24 06:25:31 | INFO | base | [KERNELUSDT] 📉 Base: СДВИГ ТП. Rate: 0.500 → 0.300
2026-04-24 09:37:02 | INFO | base | [STABLEUSDT] 📉 Base: СДВИГ ТП. Rate: 0.700 → 0.500
